alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1732980680.2333,transparent,6217.1457831331,1731417780.3335,"AS263917 Nossarede Telecom LTDA ME","Nossarede Telecom LTDA ME","Cabo de Santo Agostinho","South America",SA,Brazil,BR,,false,"Nossarede Telecom LTDA ME",-8.2751,-35.086,false,"Nossarede Telecom LTDA ME",true,Pernambuco,success,America/Recife,54500,1732624085,1732980680.2333,58080,http,http://138.204.233.189:58080,false,1762.482881546,1673,22581,6.8978312855611,138.204.233.189
true,1732980680.2271,elite,3732.073670522,1697950077.4818,"AS28032 INTERNEXA PERU S.A","INTERNEXA PERU S.A",Lima,"South America",SA,Peru,PE,,false,"Internexa Peru S.A",-12.0467,-77.0431,false,"Fiberlink E.I.R.L",true,"Lima Province",success,America/Lima,15001,1732659470,1732980680.2271,4145,socks4,socks4://190.108.84.168:4145,true,1050.966501236,11033,185808,5.6050314721018,190.108.84.168
true,1732980382.2611,elite,3196.5946564909,1725745379.9764,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732497095,1732980679.9223,10445,http,http://72.10.160.174:10445,false,1561.0504150391,122,24382,0.49787789748612,72.10.160.174
true,1732980678.4478,elite,4642.6446288931,1715279486.2321,"AS47196 Garant Park Internet",Garant-Park-Internet,Moscow,Europe,EU,Russia,RU,,true,"Garant-Park-Internet Ltd",55.7521,37.6665,false,GPI,true,Moscow,success,Europe/Moscow,101194,1732625351,1732980678.4478,12880,http,http://46.173.211.221:12880,false,563.8644695282,19536,253948,7.1433795030057,46.173.211.221
true,1732980374.8549,elite,3034.2975612968,1722100465.9781,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732641006,1732980677.8732,9825,http,http://72.10.164.178:9825,false,1271.9421386719,547,70947,0.76509916916105,72.10.164.178
true,1732980677.7089,elite,8582.645824316,1715136274.5336,"AS262589 SAMM TECNOLOGIA E TELECOMUNICACOES S.A","SAMM TECNOLOGIA E TELECOMUNICACOES S.A",Cúcuta,"South America",SA,Colombia,CO,,false,"InterNexa Global Network",7.8946,-72.5018,false,"Internexa S.a. E.S.P",true,"Norte de Santander Department",success,America/Bogota,540001,1732823306,1732980677.7089,5678,socks4,socks4://179.1.110.77:5678,true,1075.5205154419,721,83874,0.85229623500207,179.1.110.77
true,1732980660.395,elite,2645.8144885738,1732386997.5125,"AS140292 CHINATELECOM Jiangsu province Suzhou 5G network",CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,Nanjing,Asia,AS,China,CN,,false,"China Telecom",32.0607,118.763,false,"Chinanet JS",false,Jiangsu,success,Asia/Shanghai,210000,1732386999,1732980677.6124,8089,http,http://114.218.150.62:8089,false,1426.376581192,246,3859,5.9926918392205,114.218.150.62
true,1732980408.0388,elite,1554.2709848507,1710634167.4559,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Guangzhou,Asia,AS,China,CN,,false,"China Mobile communications corporation",23.1317,113.266,true,"China Mobile",true,Guangdong,success,Asia/Shanghai,510000,1732437325,1732980677.5822,9002,http,http://111.59.4.88:9002,false,1752.8223991394,274191,79900,77.43517909238,111.59.4.88
true,1732976974.7759,elite,1195.425338653,1710702235.6976,"AS33182 HostDime.com, Inc.",DIMENOC,Orlando,"North America",NA,"United States",US,,true,"HostDime.com, Inc.",28.5752,-81.2003,false,"HostDime.com, Inc.",true,Florida,success,America/New_York,32826,1732536095,1732980677.3695,80,http,http://198.49.68.80:80,false,324.72085952759,302877,68193,81.622604899345,198.49.68.80
true,1732980246.0556,elite,2938.1743238584,1718534801.6068,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732964502,1732980676.5658,3097,http,http://67.43.227.228:3097,false,1446.7053413391,593,90003,0.65455428495739,67.43.227.228
true,1732980676.3942,elite,2704.1807875528,1718173380.6313,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732908288,1732980676.3942,30671,http,http://72.10.164.178:30671,false,1386.6791725159,728,87679,0.82346420532311,72.10.164.178
true,1732979628.6513,anonymous,1904.4341244793,1729524269.7102,"AS4230 CLARO S.A.","CLARO S.A.",Sobral,"South America",SA,Brazil,BR,"Distrito Industrial - Sn",false,"Claro S.A",-3.71013,-40.3519,false,"Telcabos - Telecomunicações e Informática",true,Ceará,success,America/Fortaleza,62000-000,1732548479,1732980676.3699,80,http,http://189.43.42.96:80,false,1713.2084369659,40959,10896,78.987561469482,189.43.42.96
true,1732980663.5365,elite,1280.7219147039,1710575576.613,"AS398101 GoDaddy.com, LLC",GO-DADDY-COM-LLC,Tempe,"North America",NA,"United States",US,"South Tempe",false,"GoDaddy.com, LLC",33.3359,-111.894,false,"GoDaddy.com, LLC",true,Arizona,success,America/Phoenix,85284,1732958639,1732980676.3432,45739,socks4,socks4://192.169.140.98:45739,true,727.89192199707,5007,171556,2.8358149782231,192.169.140.98
true,1732980676.3132,elite,9727.8715686881,1722516231.0824,"AS16509 Amazon.com, Inc.",AMAZON-02,Portland,"North America",NA,"United States",US,,true,"Amazon.com, Inc.",45.5235,-122.676,false,"AWS EC2 (us-west-2)",true,Oregon,success,America/Los_Angeles,97207,1732625445,1732980676.3132,8080,socks4,socks4://44.226.55.50:8080,true,920.66597938538,231,44135,0.52066898075103,44.226.55.50
true,1732980675.2806,elite,5428.5778924039,1732785628.5912,"AS136258 BrainStorm Network, Inc",ONEPROVIDER-AS,Helsinki,Europe,EU,Finland,FI,,true,ONEPROVIDER,60.1719,24.9347,false,Oneprovider.com,true,Uusimaa,success,Europe/Helsinki,00100,1732791231,1732980675.2806,42241,http,http://37.143.129.242:42241,false,759.79399681091,665,2167,23.481638418079,37.143.129.242
true,1732980321.26,elite,3217.6286567669,1715972817.779,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732908171,1732980675.0608,11797,http,http://72.10.160.170:11797,false,1730.1211357117,794,93693,0.84032724078445,72.10.160.170
true,1732980674.6231,transparent,6246.3342650853,1731615821.4734,"AS139972 PT. Putra Lebak Banten",PLBNET-AS-ID,Pasarkemis,Asia,AS,Indonesia,ID,,false,PLBNET,-6.17028,106.53,false,,true,"West Java",success,Asia/Jakarta,,1732828177,1732980674.6231,8080,http,http://103.147.247.124:8080,false,981.35900497437,2086,19040,9.8740888005302,103.147.247.124
true,1732980637.6234,elite,682.76358818777,1710634199.9483,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba (US) Technology Co., Ltd.",22.3193,114.169,false,"Alibaba.com LLC",true,Kowloon,success,Asia/Hong_Kong,999077,1732667172,1732980673.9118,8989,http,http://47.56.110.204:8989,false,648.841381073,173820,193085,47.374661015794,47.56.110.204
true,1732980673.8565,elite,959.30437558911,1697031230.0651,"AS46562 Performive LLC",PERFORMIVE,"Los Angeles","North America",NA,"United States",US,,true,"Performive LLC",34.0549,-118.243,false,"Performive LLC",true,California,success,America/Los_Angeles,90009,1732948532,1732980673.8565,4145,socks4,socks4://142.54.231.38:4145,true,1905.4322242737,114264,174296,39.598003881342,142.54.231.38
true,1732980673.7186,elite,3382.2226098606,1731932774.514,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732417992,1732980673.7186,3849,http,http://72.10.160.174:3849,false,1943.3555603027,28,3952,0.7035175879397,72.10.160.174
true,1732980673.6406,elite,2333.397161909,1730380677.4272,"AS36351 SoftLayer Technologies Inc.",SOFTLAYER,Chiyoda,Asia,AS,Japan,JP,,true,SoftLayer,35.694,139.754,false,"SoftLayer Technologies, Inc",true,Tokyo,success,Asia/Tokyo,100-0001,1732800818,1732980673.6406,3128,http,http://169.56.21.242:3128,false,775.05922317505,1848,38248,4.608938547486,169.56.21.242
true,1732980673.6051,elite,1074.9053517753,1710541373.1372,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba (US) Technology Co., Ltd.",22.3193,114.169,false,"Alibaba.com LLC",true,Kowloon,success,Asia/Hong_Kong,999077,1732536596,1732980673.6051,3128,http,http://47.243.92.199:3128,false,527.8787612915,314705,51536,85.928391414397,47.243.92.199
true,1732980673.5292,elite,301.95027840428,1732638119.8312,"AS54825 Packet Host, Inc.",PACKET,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"Packet Host, Inc.",52.3759,4.8975,true,"Equinix Services, Inc",true,"North Holland",success,Europe/Amsterdam,1012,1732638120,1732980673.5292,10001,http,http://145.40.68.148:10001,false,63.092947006226,3163,2040,60.791850855276,145.40.68.148
true,1732980673.3006,elite,4688.2801006959,1697022730.9651,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Chengdu,Asia,AS,China,CN,,false,Chinanet,30.6498,104.0555,false,"Chinanet SC",true,Sichuan,success,Asia/Shanghai,,1732476715,1732980673.3006,10800,socks4,socks4://125.70.227.214:10800,true,1438.1272792816,14809,247191,5.6522900763359,125.70.227.214
true,1732971899.1132,elite,2023.6944553711,1728577615.2644,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Boydton,"North America",NA,"United States",US,,true,Microsoft,36.677696,-78.37471,false,"Microsoft Azure Cloud (eastus)",true,Virginia,success,America/New_York,23917,1732811673,1732980673.0804,8080,http,http://172.191.74.198:8080,false,1723.5224246979,60923,4768,92.741775890152,172.191.74.198
true,1732980672.3688,elite,1035.6157708647,1696985872.0682,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,Fairlie-Poplar,true,"Performive LLC",33.7549,-84.3897,false,"Total Server Solutions L.L.C.",true,Georgia,success,America/New_York,30303,1732406550,1732980672.3688,4145,socks4,socks4://192.111.139.165:4145,true,711.21954917908,116795,162843,41.766498115421,192.111.139.165
true,1732976968.039,elite,1204.3887282028,1710702725.1563,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Suzhou,Asia,AS,China,CN,,false,"China Unicom Jiangsu Province Network",31.2983,120.583,false,,true,Jiangsu,success,Asia/Shanghai,215000,1732536185,1732980671.3634,9002,http,http://153.101.67.170:9002,false,1544.9304580688,292810,38423,88.400008453264,153.101.67.170
true,1732980671.329,elite,550.97281922963,1710545892.339,"AS22612 Namecheap, Inc.",NAMECHEAP-NET,"Los Angeles","North America",NA,"United States",US,"West Los Angeles",true,"Namecheap, Inc.",34.0356,-118.442,false,"Namecheap, Inc.",true,California,success,America/Los_Angeles,90064,1732489371,1732980671.329,3128,http,http://66.29.154.105:3128,false,521.83842658997,79751,211626,27.370382700076,66.29.154.105
true,1732980670.984,elite,10093.054237162,1716972198.2551,"AS6849 JSC ""Ukrtelecom""",UKRTELNET,Holovanivsk,Europe,EU,Ukraine,UA,,false,UKRTELECOM,48.3816,30.4605,true,"JSC Ukrtelecom",false,"Kirovohrad Oblast",success,Europe/Kyiv,26500,1732432053,1732980670.984,8080,socks4,socks4://178.93.46.15:8080,true,803.83372306824,328,48881,0.66654473775122,178.93.46.15
true,1732980670.816,elite,754.24253360301,1697031360.1237,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1732491070,1732980670.816,4145,socks4,socks4://199.58.185.9:4145,true,708.81009101868,115094,177505,39.335062662552,199.58.185.9
true,1732980670.1225,elite,3208.969884059,1729996731.5122,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732486961,1732980670.1225,1943,http,http://67.43.227.226:1943,false,239.21298980713,68,17199,0.39381479122025,67.43.227.226
true,1732980160.4127,elite,870.91018666494,1710578604.3561,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Dubai,Asia,AS,"United Arab Emirates",AE,,true,"Alibaba Cloud LLC",25.0731,55.298,false,ALICLOUD-UAE,true,Dubai,success,Asia/Dubai,,1732521829,1732980669.5719,3128,http,http://47.91.104.88:3128,false,486.93084716797,191738,74660,71.974264071052,47.91.104.88
true,1732980585.2628,elite,1572.745062056,1732805577.157,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732806279,1732980668.6949,6097,http,http://67.43.227.226:6097,false,1810.7616901398,21,1045,1.9699812382739,67.43.227.226
true,1732980584.9587,elite,1030.2847941347,1731245310.3145,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Dongguan,Asia,AS,China,CN,,false,Chinanet,23.0177,113.7506,false,"Chinanet GD",true,Guangdong,success,Asia/Shanghai,,1732454961,1732980668.6835,4433,http,http://113.108.13.120:4433,false,466.32051467896,24289,2758,89.802935630569,113.108.13.120
true,1732980599.3323,elite,3399.9681643077,1732897251.1521,"AS24940 Hetzner Online GmbH",HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hetzner Online GmbH",60.1797,24.9344,false,Hetzner,false,Uusimaa,success,Europe/Helsinki,00201,1732898689,1732980668.6113,60844,http,http://135.181.76.180:60844,false,1109.6241474152,14,703,1.952580195258,135.181.76.180
true,1732980626.9606,elite,2815.4357315048,1721631461.3254,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732968106,1732980668.2728,7725,http,http://72.10.160.171:7725,false,1309.3721866608,508,59177,0.85113512607858,72.10.160.171
true,1732957711.7559,elite,1240.1871352518,1730484573.6764,"AS137687 Luoyang, Henan Province, P.R.China.",CHINATELECOM-HENAN-LUOYANG-IDC,Zhengzhou,Asia,AS,China,CN,,false,"China Telecom",34.7657,113.753,false,"Chinanet HA",true,Henan,success,Asia/Shanghai,450000,1732903993,1732980667.5432,82,http,http://106.42.30.243:82,false,884.91249084473,36887,2030,94.783770588689,106.42.30.243
true,1732980667.437,elite,3183.5979283866,1722965225.9164,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732802222,1732980667.437,30593,http,http://72.10.160.90:30593,false,634.55581665039,414,51001,0.80521248662842,72.10.160.90
true,1732980667.2236,elite,1389.6094590825,1713195819.2365,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,"East Irvine","North America",NA,"United States",US,"Irvine Research Center",false,"Cox Communications Inc",33.6303,-117.733,false,"Intelenet Communications",true,California,success,America/Los_Angeles,92650,1732405270,1732980667.2236,4145,socks4,socks4://72.214.108.67:4145,true,784.73520278931,58196,168719,25.646607760615,72.214.108.67
true,1732980469.6645,elite,74.638506424547,1731619055.0194,"AS60781 LeaseWeb Netherlands B.V.",LEASEWEB-NL-AMS-01,Haarlem,Europe,EU,"The Netherlands",NL,Haarlem-Oost,true,"LeaseWeb Netherlands B.V.",52.3907,4.66554,false,Ipxo,true,"North Holland",success,Europe/Amsterdam,2031,1732828847,1732980665.9064,80,http,http://159.253.4.219:80,false,86.787223815918,16317,5065,76.311851089702,159.253.4.219
true,1732980601.8723,elite,3005.6370737373,1721856263.4181,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732435766,1732980665.3809,30429,http,http://67.43.236.21:30429,false,1233.8304519653,649,76698,0.83907585297426,67.43.236.21
true,1732980562.3203,elite,2980.7067375507,1715581113.8993,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732517002,1732980665.0994,18971,http,http://72.10.160.90:18971,false,614.64643478394,1120,141469,0.78547433532741,72.10.160.90
true,1732979726.7941,elite,1069.2168682276,1719544280.6786,"AS2527 Sony Network Communications Inc.",SO-NET,Osaka,Asia,AS,Japan,JP,,false,"Sony Network Communications Inc",34.6892,135.4899,false,"Sony Network Communications Inc.",true,Osaka,success,Asia/Tokyo,550-0001,1732851064,1732980665.0329,8080,http,http://160.86.242.23:8080,false,793.58315467834,203062,18759,91.543181213681,160.86.242.23
true,1732977206.3199,anonymous,2606.882999495,1730745267.7555,"AS4230 CLARO S.A.","CLARO S.A.","Simões Filho","South America",SA,Brazil,BR,,false,"Claro S.A",-12.7844,-38.4039,true,"Telcabos - Telecomunicações e Informática",true,Bahia,success,America/Bahia,43700,1732558911,1732980664.8108,80,http,http://187.28.39.183:80,false,787.48536109924,12491,14520,46.2441227648,187.28.39.183
true,1732980664.6128,elite,4901.1650852963,1720455837.8704,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Shenzhen Tencent Computer Systems Company Limited",1.352,103.8198,false,"Tencent Cloud Computing",true,"North West",success,Asia/Singapore,858877,1732706606,1732980664.6128,3128,http,http://43.153.237.252:3128,false,1985.5389595032,47033,107769,30.382682394284,43.153.237.252
